"","studyID","blockID","blockID.level2","northing_UTM","easting_UTM","LC.author.coarse","SR","Shannon","Exclude.AM.Shannon","Original.Abundance","Original.Abundance.No.AM","Abundance","Exclude.AM.Abundance","above.genus.prop","above.genus.no.AM","Ratio","abundanceMethod","block.n","subblock.n","X","SC","Est.SR","Est.Shannon","Exclude.AM.SC","Exclude.AM.Est.SR","Exclude.AM.Est.Shannon","LC.author","Lat","Long","ref_siteID","LC.point","Hist.LC.point","fert","Agr.1km","Hist.Agr.1km","Urb.1km","Hist.Urb.1km","Forest","Hist.Forest","Shrubland","Hist.Shrubland","Grassland","Hist.Grassland","biome.value","CHELSA_bio10_01","CHELSA_bio10_12","CHELSA_bio10_04","CHELSA_bio10_15","elevation_1KMmn_SRTM","elevation_1KMsd_SRTM","cell","CHELSA_bio10_02","CHELSA_bio10_07","CHELSA_bio10_06","LC.author.and.GIS","SamplingEffort","LC.GIS","PC1","PC2","Agr1","Urb1","study_LC","qPD.S","Covariate.Est.Shannon"
"596","benj01","benj01B1","benj01benj01B1SB1",4390365.031,519573.2625,"Agriculture",13,1.90004446828732,1.90004446828732,31,31,31,31,1,1,0.419354838709677,"Visitors (Targeted)",1,1,419,0.6796,61.3870967741936,13.4329741723004,0.6796,61.3870967741936,13.4329741723004,"crop",39.6628697889969,-74.7718149970668,"benj01benj01_DH",11,11,750.9125977,1,1,0,0,0,0,0,0,0,0,5,131,1090,8205,13,21.10000038,1.808314085,2348519483,NA,NA,NA,"Agriculture",1,"Urban",-0.561753926494878,0.708392207102253,1,0,"benj01_Agriculture",4.38526524609501,1.12817217972865
"599","benj01","benj01B1","benj01benj01B1SB1",4388830.407,522484.272,"Agriculture",3,0.501046913759097,0.501046913759097,21,21,21,21,1,1,0.142857142857143,"Visitors (Targeted)",1,1,420,0.9567,3.47619047619048,1.77003937446984,0.9567,3.47619047619048,1.77003937446984,"crop",39.6489708205421,-74.737930996489,"benj01benj01_DON",11,11,1139.459351,0.977272727,0.977272727,0,0,0.022727273,0.022727273,0,0,0,0,5,131,1100,8181,13,16.59000015,2.040073633,2349167495,NA,NA,NA,"Agriculture",1,"Urban",-0.573494269608512,0.713067544298844,1,0,"benj01_Agriculture",1.34062498702704,0.24798292733626
"602","benj01","benj01B1","benj01benj01B1SB1",4389274.263,520339.4878,"Agriculture",6,0.504325191695283,0.504325191695283,96,96,96,96,1,1,0.0625,"Visitors (Targeted)",1,1,421,0.969,10.453125,1.74628063297761,0.969,10.453125,1.74628063297761,"crop",39.653023794437,-74.7629159976196,"benj01benj01_GLO",11,11,750.9125977,1,1,0,0,0,0,0,0,0,0,5,132,1083,8198,12,18.63999939,0.985088825,2348908286,NA,NA,NA,"Agriculture",1,"Urban",-0.581732279884104,0.717919741653648,1,0,"benj01_Agriculture",1.47329353222763,0.242114037513908
"605","benj01","benj01B1","benj01benj01B1SB1",4392723.221,515693.8385,"Agriculture",9,1.93552798327347,1.93552798327347,26,26,26,26,1,1,0.346153846153846,"Visitors (Targeted)",1,1,422,0.8932,10.4423076923077,8.54526551989421,0.8932,10.4423076923077,8.54526551989421,"crop",39.6841977550857,-74.8169849985025,"benj01benj01_GRA",11,11,1140.402954,0.720930233,0.720930233,0,0,0.186046512,0.186046512,0,0,0.093023256,0.093023256,5,131,1101,8240,13,28.02000046,3.016554356,2347482666,NA,NA,NA,"Agriculture",1,"Urban",-0.562528490641944,0.722948027409255,1,0,"benj01_Agriculture",4.7023252535555,0.931725561735907
"608","benj01","benj01B1","benj01benj01B1SB1",4403793.422,513054.9431,"Agriculture",13,1.97857360479948,1.97857360479948,113,113,113,113,1,1,0.115044247787611,"Visitors (Targeted)",1,1,423,0.9648,20.929203539823,7.91037778053077,0.9648,20.929203539823,7.91037778053077,"crop",39.7839867378263,-74.8475389986759,"benj01benj01_LEE",30,30,1141.173584,0.146341463,0.146341463,0,0,0.804878049,0.804878049,0,0,0,0,5,131,1099,8315,13,32.79999924,3.408812046,2342817055,NA,NA,NA,"Agriculture",1,"Agriculture",-0.546305890959888,0.732781195633083,1,0,"benj01_Agriculture",4.48255776094851,0.898197224848129
"611","benj01","benj01B1","benj01benj01B1SB1",4395251.681,520872.5023,"Agriculture",9,1.62987399685583,1.62987399685583,70,70,70,70,1,1,0.128571428571429,"Visitors (Targeted)",1,1,424,0.9722,9.98571428571429,5.4802976380408,0.9722,9.98571428571429,5.4802976380408,"crop",39.7068687982487,-74.7565139968924,"benj01benj01_MAC",200,200,1140.402954,0,0,0,0,0.755555556,0.755555556,0.044444444,0.044444444,0.022222222,0.022222222,5,131,1093,8226,13,17.95000076,2.001874208,2346445888,NA,NA,NA,"Agriculture",1,"Natural",-0.559704576837854,0.714122990414035,1,0,"benj01_Agriculture",2.93858056178845,0.738804145901979
"614","benj01","benj01B1","benj01benj01B1SB1",4388320.121,519868.5543,"Agriculture",11,2.19447439078904,2.19447439078904,20,20,20,20,1,1,0.55,"Visitors (Targeted)",1,1,425,0.6552,34.275,18.3247768205318,0.6552,34.275,18.3247768205318,"crop",39.6444377861694,-74.7684339978203,"benj01benj01_MBR",11,11,750.9125977,1,1,0,0,0,0,0,0,0,0,5,131,1090,8194,13,22.62999916,2.265634537,2349426684,NA,NA,NA,"Agriculture",1,"Urban",-0.563928497706391,0.706705473179363,1,0,"benj01_Agriculture",5.0631366285333,1.26303869402521
"617","benj01","benj01B1","benj01benj01B1SB1",4404657.378,518421.8637,"Agriculture",20,2.23390264101574,2.23390264101574,145,145,145,145,1,1,0.137931034482759,"Visitors (Targeted)",1,1,426,0.952,28.1103448275862,10.3466780870291,0.952,28.1103448275862,10.3466780870291,"crop",39.7916717792572,-74.7848379980794,"benj01benj01_MIL",100,70,1140.317993,0.095238095,0.19047619,0,0,0.833333333,0.738095238,0,0,0.071428571,0.071428571,5,130,1151,8296,13,34.04000092,2.149046183,2342428278,NA,NA,NA,"Agriculture",1,"Natural",-0.576938234736707,0.778635532590753,1,0,"benj01_Agriculture",4.58737881494038,1.01480093722837
"620","benj01","benj01B1","benj01benj01B1SB1",4407240.535,530712.4241,"Agriculture",16,2.00161079535764,2.00161079535764,124,124,124,124,1,1,0.129032258064516,"Visitors (Targeted)",1,1,427,0.9517,33.8548387096774,8.35560192485812,0.9517,33.8548387096774,8.35560192485812,"crop",39.8145909224931,-74.641168995238,"benj01benj01_MOO",70,70,26.82732391,0,0,0,0,1,0.975609756,0,0,0,0,5,130,1131,8242,14,25.13999939,2.227195501,2341391530,NA,NA,NA,"Agriculture",1,"Natural",-0.559411877065567,0.731612118099496,1,0,"benj01_Agriculture",3.62819272044577,0.921977741270498
"623","benj01","benj01B1","benj01benj01B1SB1",4379441.426,527156.1361,"Agriculture",11,2.11945538875298,2.11945538875298,36,36,36,36,1,1,0.305555555555556,"Visitors (Targeted)",1,1,428,0.9212,12.4583333333333,9.97761241818663,0.9212,12.4583333333333,9.97761241818663,"crop",39.5642378702662,-74.6838629964595,"benj01benj01_RS",11,11,1138.816162,0.30952381,0.30952381,0,0,0.69047619,0.69047619,0,0,0,0,5,131,1134,8091,13,26.62000084,2.456745863,2353055514,NA,NA,NA,"Agriculture",1,"Urban",-0.614837235559169,0.727395226463418,1,0,"benj01_Agriculture",3.22850545355602,0.999026629698163
"626","benj01","benj01B1","benj01benj01B1SB1",4401703.916,523208.5333,"Agriculture",18,2.38623091552072,2.38623091552072,144,144,144,144,1,1,0.125,"Visitors (Targeted)",1,1,429,0.9584,35.875,12.1545621743846,0.9584,35.875,12.1545621743846,"crop",39.7649438265382,-74.7290359971132,"benj01benj01_WHA",100,100,1139.462402,0.159090909,0.159090909,0,0,0.840909091,0.840909091,0,0,0,0,5,131,1109,8254,13,22.12999916,3.288327932,2343724298,NA,NA,NA,"Agriculture",1,"Natural",-0.565332126639525,0.731748845544195,1,0,"benj01_Agriculture",3.93842816878294,1.0847393195205
"629","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB1",51.17611895,5.614663168,"Agriculture",11,2.05764211607767,2.04312153848938,35,25,35,25,1,1,0.314285714285714,"Abundance",1,1,430,0.8588,23.1428571428571,10.6255440166246,0.8033,22,11.5847964709244,"field margin",51.17611895,5.614663168,"Bill01BLTS1.A",130,130,3705.052734,0.740740741,0.740740741,0,0,0,0,0,0,0.259259259,0.259259259,4,104,737,5519,11,37.31000137,1.566492915,1811356422,NA,NA,NA,"Agriculture",1,"Natural",-0.606645154633687,0.17610597022552,1,0,"Bill01_Agriculture",2.6250366313177,1.06388840823123
"631","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB1",51.16760318,5.622082033,"Agriculture",13,1.440317104078,2.13280690407871,79,29,79,29,1,1,0.164556962025316,"Abundance",1,1,431,0.9117,37.1898734177215,5.13086536362721,0.7611,35.6551724137931,14.0736693414907,"field margin",51.16760318,5.622082033,"Bill01BLTS1.B",130,130,3705.052734,0.886792453,0.886792453,0,0,0,0,0,0,0.113207547,0.113207547,4,104,729,5522,12,36.33000183,1.4426018,1811745224,NA,NA,NA,"Agriculture",1,"Natural",-0.584716920640255,0.146023757932882,1,0,"Bill01_Agriculture",2.7575717727454,1.14840734313497
"635","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB1",51.16531269,5.631408876,"Agriculture",14,2.26476887441749,2.16916328021176,39,33,39,33,1,1,0.358974358974359,"Abundance",1,1,433,0.7962,45.1794871794872,15.2290604160932,0.7595,44.030303030303,14.8036971101503,"field margin",51.16531269,5.631408876,"Bill01BLTS1.D",11,11,3706.220215,0.925925926,0.925925926,0,0,0,0,0,0,0.074074074,0.074074074,4,104,724,5526,12,35.65999985,1.23466599,1811874828,NA,NA,NA,"Agriculture",1,"Urban",-0.579631815399988,0.141508143179434,1,0,"Bill01_Agriculture",2.32197359660349,1.17037019066679
"637","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB1",51.15454697,5.635069687,"Agriculture",10,2.01122719582826,2.06206954130016,27,18,27,18,1,1,0.37037037037037,"Abundance",1,1,434,0.8573,13.8518518518519,9.79677212054553,0.7901,12.7777777777778,11.4573141690741,"field margin",51.15454697,5.635069687,"Bill01BLTS1.E",30,30,3706.220215,0.944444444,0.944444444,0,0,0,0,0,0,0.055555556,0.055555556,4,104,720,5529,12,36.74000168,2.095805407,1812393229,NA,NA,NA,"Agriculture",1,"Agriculture",-0.575592581151038,0.137852218581889,1,0,"Bill01_Agriculture",2.60524567011925,1.05908282197179
"640","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB1",51.17923459,5.639902254,"Agriculture",13,2.12288303383241,2.05842319542024,41,40,41,40,1,1,0.317073170731707,"Abundance",1,1,435,0.8584,17.390243902439,10.5445238998306,0.8799,15.046875,9.61150922824732,"field margin",51.17923459,5.639902254,"Bill01BLTS1.G",60,60,3705.052734,0.740740741,0.740740741,0,0,0.185185185,0.185185185,0,0,0.074074074,0.074074074,4,104,737,5525,12,35.04999924,2.251110792,1811226831,NA,NA,NA,"Agriculture",1,"Natural",-0.590964301871561,0.154653684023557,1,0,"Bill01_Agriculture",1.93503111240842,0.982791587256133
"642","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB1",51.16400611,5.644948615,"Agriculture",8,1.83978958684125,1.69240886298655,17,13,17,13,1,1,0.470588235294118,"Abundance",1,1,436,0.7148,17.4117647058824,10.3475670660386,0.6308,16.2307692307692,9.96724068479289,"field margin",51.16400611,5.644948615,"Bill01BLTS1.H",11,11,3706.220215,0.941176471,0.941176471,0,0,0,0,0,0,0.058823529,0.058823529,4,104,724,5527,12,33.99000168,1.268818378,1811874833,NA,NA,NA,"Agriculture",1,"Urban",-0.579434127108032,0.141661482626969,1,0,"Bill01_Agriculture",2.74111175176735,0.998574945550534
"645","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB1",51.17293946,5.651981871,"Agriculture",11,1.85394029393199,1.80062793490585,63,43,63,43,1,1,0.174603174603175,"Abundance",1,1,437,0.9375,14.9365079365079,7.22771150261356,0.9091,13.906976744186,7.17302263752801,"field margin",51.17293946,5.651981871,"Bill01BLTS1.J",30,30,3705.052734,0.54,0.54,0,0,0.36,0.36,0,0,0.1,0.1,4,104,735,5530,12,34.59000015,1.918827772,1811486035,NA,NA,NA,"Agriculture",1,"Agriculture",-0.588269243684431,0.153382078348628,1,0,"Bill01_Agriculture",2.08267768376662,0.855702201438809
"652","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB1",51.17597039,5.666398255,"Agriculture",11,2.09896635959851,2.09896635959851,34,34,34,34,1,1,0.323529411764706,"Abundance",1,1,440,0.8547,23.1323529411765,11.1725811078553,0.8547,23.1323529411765,11.1725811078553,"field margin",51.17597039,5.666398255,"Bill01BLTS1.N",100,100,3705.052734,0.188679245,0.188679245,0,0,0.679245283,0.679245283,0,0,0.094339623,0.094339623,4,104,741,5527,12,33.20000076,3.111269951,1811356440,NA,NA,NA,"Agriculture",1,"Natural",-0.593975225950722,0.159028688542932,1,0,"Bill01_Agriculture",2.19496114904358,1.04815351612417
"656","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB1",51.15774952,5.675772552,"Agriculture",15,2.46674972777138,2.38186896429347,46,41,46,41,1,1,0.326086956521739,"Abundance",1,1,442,0.8941,19.0760869565217,14.7211308444344,0.8816,18.0650406504065,13.719845578886,"field margin",51.15774952,5.675772552,"Bill01BLTS1.P",30,30,3706.482666,0.745098039,0.745098039,0,0,0.078431373,0.078431373,0,0,0.176470588,0.176470588,4,104,721,5532,12,31.85000038,1.734214544,1812263644,NA,NA,NA,"Agriculture",1,"Agriculture",-0.575861954193999,0.139342292292942,1,0,"Bill01_Agriculture",3.39594322061601,1.13734922327925
"658","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB2",50.76912683,4.785084594,"Agriculture",13,1.58494505715196,2.05053562009555,57,25,57,25,1,1,0.228070175438596,"Abundance",1,1,443,0.8427,52.7894736842105,6.86655575113656,0.6433,50.88,16.5417521059383,"field margin",50.76912683,4.785084594,"Bill01BLTS2.A",11,11,3169.813477,1,0.960784314,0,0.039215686,0,0,0,0,0,0,4,102,793,5433,11,94.05999756,2.270770788,1830407323,NA,NA,NA,"Agriculture",1,"Urban",-0.652492972336319,0.230707903358802,1,0,"Bill01_Agriculture",2.35471360046111,1.21858150821776
"660","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB2",50.78844151,4.787680638,"Agriculture",3,0.922220898569444,0.429323021930616,24,13,24,13,1,1,0.125,"Abundance",1,1,444,1,3,2.62759928944387,1,2,1.60160583212163,"field margin",50.78844151,4.787680638,"Bill01BLTS2.B",11,11,3169.813477,1,1,0,0,0,0,0,0,0,0,4,101,822,5430,11,98.11000061,3.999737501,1829500124,NA,NA,NA,"Agriculture",1,"Urban",-0.667695973501142,0.264365342762685,1,0,"Bill01_Agriculture",1.60160582805464,0.20455564158731
"662","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB2",50.80078367,4.788211458,"Agriculture",12,2.16996016436329,2.06182789236215,61,51,61,51,1,1,0.19672131147541,"Abundance",1,1,445,0.9519,14.2131147540984,9.88074417836265,0.9427,13.2058823529412,8.98974065640746,"field margin",50.80078367,4.788211458,"Bill01BLTS2.C",11,11,3169.813477,1,1,0,0,0,0,0,0,0,0,4,102,786,5428,11,82.05999756,2.591601849,1828852124,NA,NA,NA,"Agriculture",1,"Urban",-0.64771417612783,0.223053088157368,1,0,"Bill01_Agriculture",2.83696430955422,0.953747163021795
"664","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB2",50.77875618,4.794150149,"Agriculture",15,2.13972868476144,2.03014141925014,75,70,75,70,1,1,0.2,"Abundance",1,1,446,0.9207,23.88,10.0065200972543,0.9151,22.8714285714286,9.00625570849781,"field margin",50.77875618,4.794150149,"Bill01BLTS2.D",30,30,3169.813477,1,1,0,0,0,0,0,0,0,0,4,102,802,5434,12,90.75,2.688400984,1829888926,NA,NA,NA,"Agriculture",1,"Agriculture",-0.64517830706898,0.217300553480822,1,0,"Bill01_Agriculture",2.19296013671315,0.954544273430049
"666","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB2",50.78266502,4.79755032,"Agriculture",14,2.24546418875836,2.13438505271371,85,77,85,77,1,1,0.164705882352941,"Abundance",1,1,447,0.9535,17.9529411764706,10.5434059659619,0.9487,16.9480519480519,9.48019345072933,"field margin",50.78266502,4.79755032,"Bill01BLTS2.E",11,11,3169.813477,1,1,0,0,0,0,0,0,0,0,4,102,802,5434,12,90.75,2.688400984,1829759328,NA,NA,NA,"Agriculture",1,"Urban",-0.64517830706898,0.217300553480822,1,0,"Bill01_Agriculture",3.03734453061294,0.976817199545563
"668","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB2",50.79393183,4.805413158,"Agriculture",13,2.24983761837305,2.14346148636651,74,64,74,64,1,1,0.175675675675676,"Abundance",1,1,448,0.9329,22.8648648648649,11.0154986905233,0.9225,21.84375,10.0570537038118,"field margin",50.79393183,4.805413158,"Bill01BLTS2.F",11,11,3169.813477,1,1,0,0,0,0,0,0,0,0,4,102,796,5432,11,93.33999634,2.585420609,1829240930,NA,NA,NA,"Agriculture",1,"Urban",-0.655154539235536,0.233497304868271,1,0,"Bill01_Agriculture",2.15391347210552,1.00247076923014
"672","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB2",50.79497045,4.811375003,"Agriculture",16,2.23359280985173,2.38455534465913,76,51,76,51,1,1,0.210526315789474,"Abundance",1,1,450,0.9217,24.8815789473684,11.0446210083221,0.8839,23.8235294117647,13.808548841102,"field margin",50.79497045,4.811375003,"Bill01BLTS2.H",11,11,3169.813477,1,1,0,0,0,0,0,0,0,0,4,102,773,5435,11,88.11000061,2.271100998,1829111333,NA,NA,NA,"Agriculture",1,"Urban",-0.635551223938433,0.211252372426118,1,0,"Bill01_Agriculture",2.32602682877054,1.14014804038772
"674","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB2",50.79783484,4.81379697,"Agriculture",18,2.50984583700898,2.44968443850734,91,78,91,78,1,1,0.197802197802198,"Abundance",1,1,451,0.9346,26.9010989010989,14.319353959024,0.9237,25.8846153846154,13.738499848706,"field margin",50.79783484,4.81379697,"Bill01BLTS2.I",11,11,3169.813477,1,1,0,0,0,0,0,0,0,0,4,102,773,5435,11,88.11000061,2.271100998,1828981733,NA,NA,NA,"Agriculture",1,"Urban",-0.635551223938433,0.211252372426118,1,0,"Bill01_Agriculture",2.83134598544877,1.13793931329138
"676","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB2",50.77305839,4.816262078,"Agriculture",12,2.11487531819823,1.98645443986827,52,46,52,46,1,1,0.230769230769231,"Abundance",1,1,452,0.9246,15.9230769230769,9.72932099978437,0.9149,14.9130434782609,8.63985558410551,"field margin",50.77305839,4.816262078,"Bill01BLTS2.J",11,11,3169.813477,1,1,0,0,0,0,0,0,0,0,4,101,773,5439,11,98.84999847,2.543128014,1830148134,NA,NA,NA,"Agriculture",1,"Urban",-0.62574446970005,0.217765477353718,1,0,"Bill01_Agriculture",1.65866278987315,0.936506483271688
"678","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB2",50.77994505,4.825226037,"Agriculture",20,2.50855824394467,2.48374335149264,78,64,78,64,1,1,0.256410256410256,"Abundance",1,1,453,0.9125,23.4551282051282,14.4972384308397,0.894,22.4453125,14.5464366676936,"field margin",50.77994505,4.825226037,"Bill01BLTS2.K",11,11,3169.813477,1,1,0,0,0,0,0,0,0,0,4,102,747,5443,11,85.94000244,4.117815018,1829888938,NA,NA,NA,"Agriculture",1,"Urban",-0.612136022229168,0.186401947099635,1,0,"Bill01_Agriculture",3.24221787018157,1.16275662046375
"680","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB2",50.78113413,4.829818024,"Agriculture",16,2.29174285604407,2.4012550771274,80,56,80,56,1,1,0.2,"Abundance",1,1,454,0.9384,20.1145833333333,11.3113834142498,0.9126,19.0922619047619,13.2453247732901,"field margin",50.78113413,4.829818024,"Bill01BLTS2.L",11,11,3169.813477,0.98,0.98,0.02,0.02,0,0,0,0,0,0,4,102,747,5443,11,85.94000244,4.117815018,1829759339,NA,NA,NA,"Agriculture",1,"Urban",-0.612136022229168,0.186401947099635,1,0,"Bill01_Agriculture",2.50165067630815,1.12206261159652
"682","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB2",50.79920301,4.832600592,"Agriculture",21,2.57330661896117,2.51668182551248,73,71,73,71,1,1,0.287671232876712,"Abundance",1,1,455,0.8501,50.8356164383562,17.9965394848975,0.8455,79.6478873239437,18.2748585080101,"field margin",50.79920301,4.832600592,"Bill01BLTS2.M",11,11,3169.813477,0.96,0.96,0,0,0,0,0,0,0.04,0.04,4,102,741,5441,11,83.01999664,3.056075811,1828981740,NA,NA,NA,"Agriculture",1,"Urban",-0.60743913992819,0.18001331321698,1,0,"Bill01_Agriculture",2.70722127931193,1.26185402314408
"685","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB2",50.79434645,4.83837459,"Agriculture",14,2.26911341450644,2.1754103922318,54,51,54,51,1,1,0.259259259259259,"Abundance",1,1,457,0.9081,26.2685185185185,12.1397182088482,0.9027,25.2549019607843,11.0869356043173,"field margin",50.79434645,4.83837459,"Bill01BLTS2.O",11,11,3171.02002,0.96,0.96,0.02,0.02,0,0,0,0,0.02,0.02,4,103,731,5439,11,77.01999664,5.095056534,1829240942,NA,NA,NA,"Agriculture",1,"Urban",-0.608317386687328,0.163615316177998,1,0,"Bill01_Agriculture",2.44731377990321,1.04481152504547
"687","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB3",51.24221623,3.65280375,"Agriculture",4,1.03990954643052,0.655975732336547,18,14,18,14,1,1,0.222222222222222,"Abundance",1,1,458,0.9503,4.47222222222222,3.15969234667869,0.9381,3.46428571428571,2.13950175174069,"field margin",51.24221623,3.65280375,"Bill01BLTS3.A",11,11,3399.693359,0.961538462,0.961538462,0,0,0,0,0,0,0.038461538,0.038461538,4,107,782,5008,17,-0.889999986,0.773239911,1808245316,NA,NA,NA,"Agriculture",1,"Urban",-0.685547827598458,-0.0090319959648323,1,0,"Bill01_Agriculture",1.36155068449323,0.330312646403501
"690","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB3",51.2495872,3.661395415,"Agriculture",5,1.41848366194566,1.41848366194566,10,10,10,10,1,1,0.5,"Abundance",1,1,459,0.73,7.7,6.14101437055031,0.73,7.7,6.14101437055031,"field margin",51.2495872,3.661395415,"Bill01BLTS3.C",11,11,3399.693359,0.884615385,0.884615385,0,0,0,0,0,0,0.115384615,0.115384615,4,107,783,5009,17,-0.75999999,0.861626387,1807986119,NA,NA,NA,"Agriculture",1,"Urban",-0.686177705342185,-0.00789025048923506,1,0,"Bill01_Agriculture",1.46652670984286,0.788240113673228
"695","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB3",51.24352982,3.668472734,"Agriculture",7,1.76737793453002,1.59922125658727,19,17,19,17,1,1,0.368421052631579,"Abundance",1,1,462,0.9053,7.94736842105263,7.22456949119048,0.8893,7.88235294117647,6.22850220961359,"field margin",51.24352982,3.668472734,"Bill01BLTS3.F",11,11,3400.811523,0.75,0.75,0,0,0,0,0,0,0.25,0.25,4,107,784,5011,17,-0.430000007,0.851528049,1808245321,NA,NA,NA,"Agriculture",1,"Urban",-0.686609366503954,-0.00659579653088365,1,0,"Bill01_Agriculture",1.48298411235139,0.794383622854116
"699","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB3",51.24886955,3.622249276,"Agriculture",5,1.50478828368119,1.50478828368119,10,10,10,10,1,1,0.5,"Abundance",1,1,464,0.82,6.8,6.30833387912305,0.82,6.8,6.30833387912305,"field margin",51.24886955,3.622249276,"Bill01BLTS3.H",30,30,3399.693359,0.961538462,0.961538462,0,0,0,0,0,0,0.038461538,0.038461538,4,107,781,5001,17,0.370000005,1.76439786,1807986105,NA,NA,NA,"Agriculture",1,"Agriculture",-0.686103550302795,-0.0110944103011018,1,0,"Bill01_Agriculture",1.94248532864451,0.799914671027103
"702","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB3",51.22980008,3.631818697,"Agriculture",6,1.67222145847645,1.47984841847686,24,18,24,18,1,1,0.25,"Abundance",1,1,465,1,6,5.95122491622329,1,5,4.95173345311479,"field margin",51.22980008,3.631818697,"Bill01BLTS3.J",11,11,3399.693359,1,1,0,0,0,0,0,0,0,0,4,107,780,5011,17,0.949999988,1.314343929,1808893308,NA,NA,NA,"Agriculture",1,"Urban",-0.683298041723298,-0.0105506874192842,1,0,"Bill01_Agriculture",1.23917240421854,0.694757259001363
"704","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB3",51.24116212,3.633695314,"Agriculture",4,1.13186431874971,0.76475441956742,25,15,25,15,1,1,0.16,"Abundance",1,1,466,1,4,3.30562262518057,1,3,2.30939504969091,"field margin",51.24116212,3.633695314,"Bill01BLTS3.K",11,11,3399.693359,0.961538462,0.961538462,0,0,0,0,0,0,0.038461538,0.038461538,4,107,778,5008,17,-0.119999997,0.815843105,1808374909,NA,NA,NA,"Agriculture",1,"Urban",-0.682232260233557,-0.0129919539967132,1,0,"Bill01_Agriculture",0.999999999783808,0.363498230546293
"706","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB3",51.22744123,3.639176933,"Agriculture",9,1.60573036419532,1.71526322790281,30,16,30,16,1,1,0.3,"Abundance",1,1,467,0.8027,23.5,7.11971170856693,0.6347,22.0625,10.4710236357943,"field margin",51.22744123,3.639176933,"Bill01BLTS3.L",11,11,3399.693359,0.980769231,0.980769231,0,0,0,0,0,0,0.019230769,0.019230769,4,107,781,5012,17,0.720000029,1.123209715,1809022911,NA,NA,NA,"Agriculture",1,"Urban",-0.683928979091281,-0.00940767637821249,1,0,"Bill01_Agriculture",2.1669628953027,1.01998913990677
"710","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB3",51.22414894,3.641424535,"Agriculture",5,1.40066176324807,1.17099712611621,22,14,22,14,1,1,0.227272727272727,"Abundance",1,1,469,0.9585,5.47727272727273,4.54790308539379,0.9381,4.46428571428571,3.71766451052764,"field margin",51.22414894,3.641424535,"Bill01BLTS3.N",11,11,3399.693359,0.962264151,0.962264151,0,0,0,0,0,0,0.037735849,0.037735849,4,107,780,5017,17,1.74000001,1.911125302,1809152511,NA,NA,NA,"Agriculture",1,"Urban",-0.682111911971563,-0.00963065073407177,1,0,"Bill01_Agriculture",1.88821628287316,0.570270195602483
"716","Bill01","Bill01BillB1","Bill01Bill01BillB1BillB1SB4",50.6767973,5.790194593,"Agriculture",9,1.56931620111956,1.39114811414736,33,30,33,30,1,1,0.272727272727273,"Abundance",1,1,471,0.8504,21.1212121212121,6.43496057166261,0.8356,20.0833333333333,5.44678832462948,"field margin",50.6767973,5.790194593,"Bill01BLTS4.C",130,130,2878.089355,0.037735849,0.037735849,0,0,0,0,0,0,0.962264151,0.962264151,4,95,870,5627,10,215.3300018,11.42983341,1834684485,NA,NA,NA,"Agriculture",1,"Natural",-0.627357239919203,0.397976838254417,1,0,"Bill01_Agriculture",1.30077576151864,0.736140497866918
